Series Name,"Series Code","Country Name","Country Code","2018 [YR2018]"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","IDA & IBRD total","IBT","142.342167175385"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","IDA blend","IDB","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","IDA only","IDX","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","IDA total","IDA","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","India","IND","18.12649097"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Indonesia","IDN","54.35259666"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Iran, Islamic Rep.","IRN","222.42095799"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Iraq","IRQ","115.23301112"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Ireland","IRL","4065.23517923"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Isle of Man","IMN","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Israel","ISR","2149.07668452"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Italy","ITA","2215.82254214"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Jamaica","JAM","208.44001387"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Japan","JPN","3565.37163173"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Jordan","JOR","162.35442428"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Kazakhstan","KAZ","167.82114662"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Kenya","KEN","31.70289745"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Kiribati","KIR","150.43323027"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Korea, Dem. People's Rep.","PRK","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Korea, Rep.","KOR","1486.90499602"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Kosovo","XKX","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Kuwait","KWT","1529.19153192"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Kyrgyz Republic","KGZ","31.81318552"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Lao PDR","LAO","22.33125644"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Late-demographic dividend","LTE","308.324086926632"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Latin America & Caribbean","LCN","351.282514003708"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Latin America & Caribbean (excluding high income)","LAC","335.395096514467"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Latin America & the Caribbean (IDA & IBRD countries)","TLA","341.254272170909"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Latvia","LVA","657.76699444"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Least developed countries: UN classification","LDC","10.0914567765567"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Lebanon","LBN","347.53618387"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Lesotho","LSO","58.81941202"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Liberia","LBR","11.42816198"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Libya","LBY","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Liechtenstein","LIE","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Lithuania","LTU","824.25903927"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Low & middle income","LMY","136.666337745369"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Low income","LIC","7.01647719748011"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Lower middle income","LMC","34.6428834309061"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Luxembourg","LUX","5288.11180257"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Macao SAR, China","MAC","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Madagascar","MDG","7.87811298"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Malawi","MWI","9.14875615"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Malaysia","MYS","218.88801391"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Maldives","MDV","593.979401"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Mali","MLI","10.30084858"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Malta","MLT","1747.86846899"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Marshall Islands","MHL","279.25473782"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Mauritania","MRT","22.48532476"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Mauritius","MUS","288.51194205"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Mexico","MEX","258.80856865"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Micronesia, Fed. Sts.","FSM","109.45539773"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Middle East & North Africa","MEA","294.95804658408"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Middle East & North Africa (excluding high income)","MNA","126.881700583486"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Middle East & North Africa (IDA & IBRD countries)","TMN","126.881700583486"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Middle income","MIC","149.015348830279"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Moldova","MDA","156.27829497"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Monaco","MCO","2544.5105294"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Mongolia","MNG","91.40709941"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Montenegro","MNE","435.60595199"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Morocco","MAR","70.2470616"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Mozambique","MOZ","9.11512623"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Myanmar","MMR","8.77954362"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Namibia","NAM","216.2676162"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Nauru","NRU","799.32067925"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Nepal","NPL","12.05119387"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Netherlands","NLD","3510.1953519"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","New Caledonia","NCL","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","New Zealand","NZL","3021.27715679"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Nicaragua","NIC","103.93600201"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Niger","NER","10.0822834"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Nigeria","NGA","10.71259516"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","North America","NAC","5153.72713080323"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","North Macedonia","MKD","228.76987145"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Northern Mariana Islands","MNP","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Norway","NOR","7089.27213796"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Not classified","INX","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","OECD members","OED","3002.48974658173"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Oman","OMN","594.52892239"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Other small states","OSS","434.571262424697"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Pacific island small states","PSS","132.623757460189"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Pakistan","PAK","15.31682317"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Palau","PLW","1015.28151002"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Panama","PAN","729.76497071"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Papua New Guinea","PNG","44.46991863"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Paraguay","PRY","175.20636714"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Peru","PER","224.99854838"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Philippines","PHL","49.96304768"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Poland","POL","695.74820078"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Portugal","PRT","1355.4599458"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Post-demographic dividend","PST","3578.13962426118"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Pre-demographic dividend","PRE","16.5045138268768"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Puerto Rico","PRI","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Qatar","QAT","1238.65123052"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Romania","ROU","547.59798255"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Russian Federation","RUS","362.09600641"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Rwanda","RWA","18.35477079"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Samoa","WSM","164.14192379"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","San Marino","SMR","2811.77530116"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sao Tome and Principe","STP","55.12792431"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Saudi Arabia","SAU","943.06827608"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Senegal","SEN","14.00180207"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Serbia","SRB","366.35212617"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Seychelles","SYC","620.39160411"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sierra Leone","SLE","4.10468102"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Singapore","SGP","1334.03955415"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sint Maarten (Dutch part)","SXM","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Slovak Republic","SVK","1029.72409649"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Slovenia","SVN","1570.96801597"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Small states","SST","399.007416375953"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Solomon Islands","SLB","75.07428537"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Somalia","SOM","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","South Africa","ZAF","323.44125272"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","South Asia","SAS","17.2671454755825"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","South Asia (IDA & IBRD)","TSA","17.2671454755825"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","South Sudan","SSD","2.91472014"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Spain","ESP","1925.69926152"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sri Lanka","LKA","74.06991332"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","St. Kitts and Nevis","KNA","461.74500995"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","St. Lucia","LCA","224.36319135"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","St. Martin (French part)","MAF","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","St. Vincent and the Grenadines","VCT","224.67515829"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sub-Saharan Africa","SSF","31.8669616299779"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sub-Saharan Africa (excluding high income)","SSA","31.8134006409991"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sub-Saharan Africa (IDA & IBRD countries)","TSS","31.8669616299779"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sudan","SDN","13.08626342"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Suriname","SUR","316.60149743"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Sweden","SWE","5091.37246796"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Switzerland","CHE","3081.6976749"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Syrian Arab Republic","SYR","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Tajikistan","TJK","16.1849024"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Tanzania","TZA","15.82210423"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Thailand","THA","196.35004381"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Timor-Leste","TLS","55.6886628"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Togo","TGO","9.19254793"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Tonga","TON","148.87847438"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Trinidad and Tobago","TTO","553.7059969"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Tunisia","TUN","133.03732275"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Turkey","TUR","301.686818"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Turkmenistan","TKM","83.38689149"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Turks and Caicos Islands","TCA","NA"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Tuvalu","TUV","627.10696825"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Uganda","UGA","5.37704109"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","Ukraine","UKR","103.27632476"
Domestic general government health expenditure per capita (current US$),"SH.XPD.GHED.PC.CD","United Arab Emirates","ARE","937.35993401"
